"origin","olive_oil","cayenne","butter","soy_sauce","garlic","ginger","cumin","fish","onion","cilantro","wheat","rice","egg","tomato","scallion","coriander","lime_juice","vegetable_oil","corn","cream","turmeric","sesame_oil","bell_pepper","cinnamon","parsley","lemon_juice","milk","vinegar","wine","mint","coconut","pepper","shrimp","oregano","thyme","chicken","mustard","basil","black_pepper","lemongrass","vanilla","cheese","yogurt","shallot","feta_cheese","fenugreek","buttermilk","dill","lime","green_bell_pepper"
"African",0.521739130434783,0.356521739130435,0.208695652173913,0.00869565217391304,0.495652173913044,0.260869565217391,0.426086956521739,0.0782608695652174,0.530434782608696,0.243478260869565,0.260869565217391,0.104347826086957,0.2,0.252173913043478,0.0521739130434783,0.278260869565217,0.0434782608695652,0.173913043478261,0.0347826086956522,0.0347826086956522,0.156521739130435,0,0.31304347826087,0.28695652173913,0.191304347826087,0.260869565217391,0.0869565217391304,0.0521739130434783,0.0173913043478261,0.0608695652173913,0.00869565217391304,0.165217391304348,0.0347826086956522,0.00869565217391304,0.0695652173913043,0.2,0.0521739130434783,0.0173913043478261,0.295652173913043,0.00869565217391304,0.0260869565217391,0.00869565217391304,0,0.0434782608695652,0.00869565217391304,0.0608695652173913,0,0,0.00869565217391304,0.0173913043478261
"American",0.303127506014435,0.130914194065758,0.444867682437851,0.022654370489174,0.254009623095429,0.0789895749799519,0.0581395348837209,0.0402967121090618,0.2514033680834,0.0579390537289495,0.315557337610265,0.0322774659182037,0.348436246992783,0.133319967923015,0.0721732157177225,0.0278668805132318,0.0455092221331195,0.185645549318364,0.103448275862069,0.248195669607057,0.0152365677626303,0.010224538893344,0.0964314354450682,0.0962309542902967,0.131916599839615,0.152967121090617,0.188853247794707,0.158179631114675,0.0294707297514034,0.0352846832397755,0.0190457097032879,0.0715717722534082,0.0242582197273456,0.0326784282277466,0.0970328789093825,0.0591419406575782,0.092822774659182,0.0541299117882919,0.231355252606255,0.00160384923817161,0.158981555733761,0.0483159582999198,0.0162389735364876,0.088813151563753,0.0104250200481155,0.01242983159583,0.0495188452285485,0.0240577385725742,0.0192461908580593,0.0172413793103448
"Asian",0.0663265306122449,0.293367346938776,0.0586734693877551,0.5,0.480442176870748,0.489795918367347,0.0833333333333333,0.193877551020408,0.142006802721088,0.207482993197279,0.0952380952380952,0.409863945578231,0.136904761904762,0.0578231292517007,0.385204081632653,0.133503401360544,0.165816326530612,0.362244897959184,0.0501700680272109,0.0357142857142857,0.0799319727891157,0.30187074829932,0.131802721088435,0.0289115646258503,0.0144557823129252,0.054421768707483,0.0238095238095238,0.337585034013605,0.126700680272109,0.0824829931972789,0.0935374149659864,0.187925170068027,0.120748299319728,0.00255102040816327,0.00425170068027211,0.159013605442177,0.0238095238095238,0.0561224489795918,0.113095238095238,0.070578231292517,0.0127551020408163,0.00340136054421769,0.00935374149659864,0.103741496598639,0.00170068027210884,0.0578231292517007,0.00340136054421769,0.00255102040816327,0.0671768707482993,0.0102040816326531
"Cajun_Creole",0.287671232876712,0.561643835616438,0.363013698630137,0.0205479452054795,0.486301369863014,0.0479452054794521,0.0342465753424658,0.0479452054794521,0.698630136986301,0.00684931506849315,0.308219178082192,0.26027397260274,0.253424657534247,0.315068493150685,0.287671232876712,0.0136986301369863,0.0273972602739726,0.342465753424658,0.102739726027397,0.123287671232877,0,0.00684931506849315,0.342465753424658,0.0410958904109589,0.191780821917808,0.116438356164384,0.0821917808219178,0.219178082191781,0.191780821917808,0.00684931506849315,0.0273972602739726,0.273972602739726,0.26027397260274,0.136986301369863,0.328767123287671,0.13013698630137,0.143835616438356,0.0273972602739726,0.328767123287671,0.00684931506849315,0.0410958904109589,0.0205479452054795,0.00684931506849315,0.0410958904109589,0,0,0.0136986301369863,0.0136986301369863,0.00684931506849315,0.308219178082192
"Central_SouthAmerican",0.311203319502075,0.518672199170125,0.232365145228216,0.012448132780083,0.568464730290456,0.00829875518672199,0.240663900414938,0.033195020746888,0.54356846473029,0.311203319502075,0.195020746887967,0.0622406639004149,0.211618257261411,0.4149377593361,0.141078838174274,0.0497925311203319,0.170124481327801,0.20746887966805,0.327800829875519,0.182572614107884,0.00829875518672199,0.004149377593361,0.16597510373444,0.112033195020747,0.107883817427386,0.037344398340249,0.149377593360996,0.170124481327801,0.00829875518672199,0.029045643153527,0.029045643153527,0.161825726141079,0.0539419087136929,0.145228215767635,0.016597510373444,0.0912863070539419,0.020746887966805,0.004149377593361,0.178423236514523,0,0.0746887966804979,0.190871369294606,0.004149377593361,0.012448132780083,0,0,0.012448132780083,0,0.0746887966804979,0.0539419087136929
"Chinese",0.0132743362831858,0.216814159292035,0.0486725663716814,0.663716814159292,0.513274336283186,0.619469026548673,0.00884955752212389,0.0575221238938053,0.106194690265487,0.163716814159292,0.128318584070796,0.380530973451327,0.154867256637168,0.0353982300884956,0.473451327433628,0.0398230088495575,0.0221238938053097,0.300884955752212,0.084070796460177,0.0221238938053097,0.00884955752212389,0.420353982300885,0.079646017699115,0.0309734513274336,0.00442477876106195,0.0132743362831858,0.0176991150442478,0.292035398230089,0.300884955752212,0.0176991150442478,0.0132743362831858,0.278761061946903,0.106194690265487,0,0,0.185840707964602,0.00442477876106195,0.00442477876106195,0.128318584070796,0,0.00442477876106195,0,0.00442477876106195,0.0486725663716814,0,0.00884955752212389,0,0,0.00442477876106195,0.0132743362831858
"EasternEuropean_Russian",0.164383561643836,0.0479452054794521,0.602739726027397,0,0.226027397260274,0.0205479452054795,0.0205479452054795,0.0342465753424658,0.383561643835616,0.0205479452054795,0.493150684931507,0.0479452054794521,0.506849315068493,0.136986301369863,0.0410958904109589,0.0136986301369863,0.00684931506849315,0.198630136986301,0.0410958904109589,0.335616438356164,0,0,0.116438356164384,0.10958904109589,0.171232876712329,0.0821917808219178,0.205479452054795,0.136986301369863,0.00684931506849315,0.0136986301369863,0,0.0479452054794521,0,0.00684931506849315,0.0684931506849315,0.0273972602739726,0.0547945205479452,0.00684931506849315,0.253424657534247,0,0.178082191780822,0.10958904109589,0.0342465753424658,0.0410958904109589,0.0136986301369863,0.0136986301369863,0.00684931506849315,0.136986301369863,0,0.0205479452054795
"English_Scottish",0.132352941176471,0.0147058823529412,0.67156862745098,0,0.0931372549019608,0.0490196078431373,0.0294117647058824,0.0294117647058824,0.176470588235294,0.0196078431372549,0.622549019607843,0.00490196078431373,0.534313725490196,0.0441176470588235,0.0147058823529412,0.0294117647058824,0.0147058823529412,0.142156862745098,0.0245098039215686,0.411764705882353,0.0245098039215686,0.00490196078431373,0.0196078431372549,0.0637254901960784,0.107843137254902,0.0833333333333333,0.352941176470588,0.0980392156862745,0.00980392156862745,0.0196078431372549,0.00980392156862745,0.0637254901960784,0.00490196078431373,0,0.0588235294117647,0.00980392156862745,0.137254901960784,0.0245098039215686,0.122549019607843,0.00490196078431373,0.17156862745098,0.122549019607843,0.00490196078431373,0.053921568627451,0,0.0245098039215686,0.112745098039216,0.00490196078431373,0.00980392156862745,0
"French",0.308232931726908,0.0381526104417671,0.48995983935743,0.00301204819277108,0.273092369477912,0.0391566265060241,0.0160642570281124,0.0682730923694779,0.236947791164659,0.0070281124497992,0.356425702811245,0.0180722891566265,0.434738955823293,0.1285140562249,0.0210843373493976,0.0230923694779116,0.00803212851405622,0.105421686746988,0.0271084337349398,0.270080321285141,0.00803212851405622,0,0.0522088353413655,0.0451807228915663,0.193775100401606,0.132530120481928,0.193775100401606,0.127510040160643,0.0401606425702811,0.0190763052208835,0.00401606425702811,0.071285140562249,0.0120481927710843,0.00903614457831325,0.183734939759036,0.0622489959839357,0.0943775100401606,0.0692771084337349,0.205823293172691,0.00401606425702811,0.151606425702811,0.0532128514056225,0.00502008032128514,0.142570281124498,0.00301204819277108,0.00803212851405622,0.00903614457831325,0.0070281124497992,0.00200803212851406,0.00502008032128514
"German",0.0576923076923077,0,0.557692307692308,0,0.173076923076923,0.0576923076923077,0.0192307692307692,0.0192307692307692,0.480769230769231,0,0.5,0.0192307692307692,0.423076923076923,0.115384615384615,0.0192307692307692,0,0,0.230769230769231,0.0961538461538462,0.153846153846154,0,0,0.0192307692307692,0.153846153846154,0.173076923076923,0.0576923076923077,0.346153846153846,0.346153846153846,0.0384615384615385,0,0.0192307692307692,0.0192307692307692,0,0,0.0769230769230769,0,0.269230769230769,0,0.307692307692308,0,0.192307692307692,0,0.0192307692307692,0.0192307692307692,0,0,0.0192307692307692,0.153846153846154,0,0
